url-id|url|fetchStart|connectStart|responseStart|SpeedIndex|VC85|fcp|lcp-load|lcp-render|lcp-element
79|http://doncweb.blogspot.com|11|43|446|1201|1700|897|2758|2758|""https://blogger.googleusercontent.com/img/a/AVvXsEjnYhuUJzSOcdnPWHuXMx9bzJOAicgDi9KIQob8Wbe0qtU8-vV7x9X3pS8j-ylcbTi-n8BbscDbXKgC6_BiF1XcMW3BeP86quRZNsSkXiLJK5z58MxsjuZiU1keKxnwu17uS-4VI8iyCaLxlb08wyLAr-Nb6-my-FsWHDHez94Y2BIpRfw5mDRtmH_E52PN=s200-p""
80|http://download2.ebz.epson.net|10|73|119|200|200|197|0|199|""<body></body>""
81|http://ds0003.kokshetau.aqmoedu.kz|11|363|1184|4468|5200|2770|4233|4237|""http://ds0003.kokshetau.aqmoedu.kz/public/bg/body_725.jpg""
82|http://ehvfc.org|10|53|411|1368|1634|886|1534|1537|""http://ehvfc.org/resources/images/banner/1.jpg""
83|http://elearningv1.usk.ac.id|9|316|886|1334|1334|1292|0|1304|""<td valign="top" width="100%" class="category name"></td>""
84|http://enpuz.com|11|341|782|1640|2167|1202|0|1242|""<p class="mt-5 fs-5"></p>""
85|http://eradia.net|8|857|1489|2501|2800|2144|2791|2795|""http://eradia.net/theme/eradia1/img/burn.png""
86|http://esakatwinreverb.com|10|352|1408|2632|2567|2416|2417|2430|""http://esakatwinreverb.com/wp-content/uploads/2022/09/IMG_1840-5-1220x480.jpg""
87|http://esfadnews.blogfa.com|11|42|332|1259|2667|653|3883|3883|""https://s6.uupload.ir/files/photo_%DB%B2%DB%B0%DB%B2%DB%B3-%DB%B1%DB%B0-%DB%B0%DB%B1_%DB%B1%DB%B4-%DB%B0%DB%B8-%DB%B0%DB%B6_i14k.jpg""
88|http://exatourbaikal.com|12|637|1268|3410|5267|2560|3188|3193|""http://exatourbaikal.com/wp-content/themes/baikal/img/top-img3.jpg""
89|http://fauzanmrzz.blogspot.com|10|81|647|1105|1067|1027|0|1042|""<h1 class="title"></h1>""
90|http://figofago.konin.pl|10|602|1088|1200|1200|1172|0|1172|""<p></p>""
91|http://finance.hcu.ac.th|9|502|1886|7917|17167|3910|7493|7495|""http://finance.hcu.ac.th/wp-content/uploads/2024/01/1706226175691-1470x960.jpg""
92|http://fischraeucherei-brauer.de|11|437|1077|2325|2734|1792|2387|2398|""http://fischraeucherei-brauer.de/wp-content/themes/brauers-homepage/images/paper-background.jpg""
93|http://fitapetit.cz|9|484|980|2207|2467|1936|2776|2787|""http://fitapetit.cz/themes/img/footer-background.png""
