url-id|url|fetchStart|connectStart|responseStart|SpeedIndex|VC85|fcp|lcp-load|lcp-render|lcp-element
93|http://fitapetit.cz|2|460|1070|1401|1400|1388|0|1388|""<span></span>""
94|http://flancourt-crescy-en-roumois.fr|2|361|1788|3276|3300|3255|3143|3255|""https://flancourt-crescy-en-roumois.fr/wp-content/uploads/2018/01/cropped-cropped-logo-flancourt-carre-1-e1515444533191.jpg""
95|http://flvcode.com|3003|5294|5457|8554|12178|5520|5579|5604|""http://flvcode.com/images/top6.jpg""
96|http://fort.apiculture.free.fr|3209|3209|3511|4720|5066|4205|4470|4488|""http://fort.apiculture.free.fr/picts/fort-cvis1.jpg""
97|http://forum.serithai.net|2|68|1592|3844|3800|3764|3655|3655|""https://static.serithai.net/webboard/public/style_images/master/logo_serithai_classic.png""
98|http://frac.my|3|39|571|2235|2233|2222|0|2238|""<h2 class="mbr-fonts-style display-1"></h2>""
99|http://freemindscafe.com|570|571|1183|7298|7674|1206|1196|1206|""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHhtbG5zOnhsaW5rPSJodH""
100|http://ftp.ines.ro|2140|2140|2350|2449|2400|2389|0|2389|""<address></address>""
101|http://furgos.com|3004|3004|5225|7359|8100|7122|7092|7138|""http://furgos.com/wp-content/uploads/2EC88454-5838-48C7-BFC9-89D0C7D3E19A_1_105_c-1-600x400.jpeg""
102|http://g-keifu.com|2|251|864|1133|1133|1118|1077|1118|""data:image/png;base64,%0AiVBORw0KGgoAAAANSUhEUgAAAlgAAABsCAIAAAA5cFsZAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSB""
103|http://gallery.homoemo.com|2|85|364|433|433|405|0|405|""<body></body>""
104|http://gepia2021.cancer-pku.cn|1028|1028|1200|2067|2333|1689|2285|2306|""http://gepia2021.cancer-pku.cn/GEPIA2021.png""
105|http://gidonline.ru|1668|1668|1874|3419|3800|3183|0|3183|""<h1 class="js-defaultHeader banner__header hide"></h1>""
106|http://gimnazija-druga-vz.skole.hr|3|437|1379|0|0|
107|http://globolandia.com.ar|2|571|1498|3205|3100|2672|2824|3089|""https://globolandia.com.ar/frontend/images/bg-slider-01.jpg""
108,http://glpi.subredsur.gov.co,,,,,,,,,
109|http://gnezdyshko.org|1187|1187|1999|4316|5266|3315|5279|5315|""http://gnezdyshko.org/wp-content/uploads/2023/06/%D1%81%D0%B0%D0%B9%D1%82.png""
110,http://greenwichshoppingpark.co.uk,,,,,,,,,
111|http://grenouillesbis.canalblog.com|809|809|1012|3860|4500|2861|3364|3364|""http://storage.canalblog.com/22/58/846735/101840012.jpg""
112|http://gts.realwork.jp|3003|3003|3201|4533|4533|4500|0|4500|""<p class="subtexts"></p>""
113|http://hamestory.blog.2nt.com|77|77|113|2518|5500|502|3166|3166|""https://blog-imgs-99-origin.2nt.com/h/a/m/hamestory/pickup1091.jpg""
114|http://hattori-y.co.jp|1517|1517|2335|6827|7166|5153|5522|5553|""http://hattori-y.co.jp/files/libs/222/header_bg.jpg?1543390655""
115|http://hayama-group.jp|2|304|917|1200|1200|1169|1125|1169|""data:image/png;base64,%0AiVBORw0KGgoAAAANSUhEUgAAAlgAAABsCAIAAAA5cFsZAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSB""
116|http://henhouse1970.blog74.fc2.com|270|270|326|700|666|505|0|621|""<div style="font-size: 13px; color: black; line-height: 23px"></div>""
117|http://herdefluesterer.com|271|271|2614|4330|5033|3896|5692|5713|""http://herdefluesterer.com/wp-content/uploads/2016/06/IMG_0671-Kopie.jpg""
118|http://hethongpkdkainghia.vn|722|722|925|0|0|
119|http://hkrpinnovations.com|0|0|65|4409|4638|357|532|590|""http://hkrpinnovations.com/images/finalbackground-3.png""
120|http://hokusetsu2025.com|1101|1101|2125|4229|6433|3305|4992|4992|""http://wing-wp.com/sample-7/wp-content/uploads/2018/08/yellow_dot.jpg""
121|http://hookah-maker.asia|1125|1125|1433|2455|2433|2221|2377|2421|""http://hookah-maker.asia/images/pro01.jpg""
122|http://hoteldiamantina.com.br|1549|1758|2570|2633|2633|2618|0|2618|""<h1></h1>""
123|http://hsg-freiburg.de|1401|1401|2494|4210|5500|3584|3693|3717|""http://hsg-freiburg.de/wp-content/uploads/2024/02/He1_240203-300x300.jpg""
124|http://imanabadkarokela.com|2|400|1525|2199|2800|2171|2760|2787|""https://imanabadkarokela.com/intro.jpg""
125|http://industria.mendoza.gov.ar|3|4|609|2586|2966|1298|2145|2164|""http://industria.mendoza.gov.ar/images/form-bg.png""
126|http://informativo-vmx.com.mx|3|21|267|366|366|333|0|333|""<h1></h1>""
127|http://instagram.sellu.ir|3004|3798|5027|8265|13433|6635|13373|13401|""http://instagram.sellu.ir/files/AdvUserFile/4522_Slid_2016-9-22-4-14-25-661.gif""
128|http://interlab-poznan.zelnet.pl|1067|1067|1379|3627|3866|3071|3832|3854|""http://interlab-poznan.zelnet.pl/Portals/interlab/Skins/interlab/assets/img/ts1.jpg""
129|http://ishombinali.blogspot.com|3|56|436|741|766|621|734|754|""https://2.bp.blogspot.com/-zmufkamm4EU/VLm90Euq-3I/AAAAAAAAACI/KjsPX8adTyk/s1600/moh%2Bishomuddin%2B%25282%2529.jpg""
130|http://izhora-dvk.ru|2|207|917|0|3666|
131|http://j5fmadeif3.lalsl.com|3004|3004|3264|0|0|
132|http://ja.kushiro-lakeakan.com|2|189|1399|6957|15081|4188|4836|4888|""https://ja.kushiro-lakeakan.com/kushiroakanwp/wp-content/themes/visitkushiro/imgs/index/bnr/artmeishi.jpg""
133|http://jaffnaushotel.com|267|267|1184|7048|7300|2804|7247|7271|""http://jaffnaushotel.com/assets/images/us-hotel.jpg""
134|http://javahery.blogfa.com|303|303|402|705|700|685|0|685|""<p dir="RTL" style="text-align:justify"></p>""
135|http://jha.ppj.unp.ac.id|2184|2184|2772|3585|4066|3384|0|3384|""<div></div>""
136|http://jikei1-y.sakura-g.ac.jp|2|147|756|1033|1033|1016|975|1016|""data:image/png;base64,%0AiVBORw0KGgoAAAANSUhEUgAAAlgAAABsCAIAAAA5cFsZAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSB""
137|http://jinnouchitaizo.com|1043|1043|1252|1986|2033|1489|2002|2022|""http://jinnouchitaizo.com/img/topph03.jpg""
138|http://jkfnagano01.web.fc2.com|163|163|193|309|333|252|322|369|""http://jkfnagano01.web.fc2.com/BIGHAT_front_obi2.jpg""
